,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,label
48,Backstreets,Born To Run,Bruce Springsteen,4cKJsZuzbNBpdxeMC9pBQG,1975-08-25,54,390146,0.225,0.201,0.889,0.734,0.379,0.599,-4.371,0.0337,96.02,7,4,like
49,Simple Man,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,11xkq6rKj5UodHwd07vgv8,1973-01-01,0,356640,0.425,0.0504,0.767,0.000138,0.168,0.442,-8.646,0.0413,120.539,6,4,like
50,The Man Who Sold The World - Live,MTV Unplugged In New York,Nirvana,15VRO9CQwMpbqUYA7e6Hwg,1994-11-01,74,261093,0.483,0.425,0.753,0.000142,0.257,0.42,-8.937,0.0832,115.102,1,4,like
51,Dream A Little Dream,Ukulele Songs,Eddie Vedder,1jbiCgD27jEVWaTOZnGdkK,2011-01-01,0,90613,0.509,0.967,0.165,2.53e-05,0.252,0.562,-19.845,0.0827,95.111,7,4,like
52,Ramble On - 1990 Remaster,Led Zeppelin II (1994 Remaster),Led Zeppelin,3MODES4TNtygekLl146Dxd,1969-10-22,68,263333,0.468,0.072,0.607,0.000852,0.225,0.886,-11.367,0.0336,98.429,9,4,like
53,Jolene,Trouble,Ray LaMontagne,2fSIF8CJhoc9CJhF9vJDXp,2004-08-15,60,250866,0.588,0.863,0.142,0.000162,0.0953,0.288,-15.196,0.0329,119.656,7,4,like
54,(Sittin' On) the Dock of the Bay,The Very Best of Otis Redding,Otis Redding,3XWiy9JEQ4iyqCzIqqdQu3,1992-11-06,48,166826,0.484,0.724,0.312,1.65e-06,0.0601,0.598,-13.522,0.0535,205.981,2,4,like
55,La Grange - 2005 Remaster,Tres Hombres (Expanded 2006 Remaster),ZZ Top,70YvYr2hGlS01bKRIho1HM,1973-07-26,28,230480,0.545,0.00249,0.64,0.0304,0.196,0.606,-9.937,0.224,80.544,4,4,like
56,"One Bourbon, One Scotch, One Beer","One Bourbon, One Scotch, One Beer",George Thorogood & The Destroyers,0u6Quwu7pe0lxJJPsRe4Mf,2010-05-10,0,507906,0.59,0.0679,0.855,0.00377,0.174,0.793,-9.486,0.163,136.648,4,4,like
57,Stir It Up - Original Album Version,Legend (Deluxe Edition),Bob Marley & The Wailers,1MjeP8lwmaNGqGbmS9IrEc,2002-01-01,0,331453,0.759,0.613,0.438,0.32,0.0414,0.929,-11.028,0.122,147.232,9,4,like
58,Love Gonna Walk Out On Me,True Love,Toots & The Maytals,19hw6znBbAUNQhUP0KJyH3,2004-04-06,0,213800,0.683,0.331,0.488,1.55e-06,0.117,0.619,-7.442,0.0722,75.135,0,4,like
59,Burn One Down,Fight For Your Mind,Ben Harper,2QzMJkYUhThZxM94ahgOzN,1995-01-01,58,211626,0.857,0.573,0.404,0.733,0.0958,0.302,-10.669,0.0444,105.068,5,4,like
60,Pressure Drop,Reggae Greats - Toots & The Maytals,Toots & The Maytals,7cfILJJHW9ZSkbM2ywLhiN,1984-01-01,0,174960,0.658,0.106,0.571,0.0,0.0286,0.985,-11.972,0.0432,148.964,8,4,like
61,Could You Be Loved,Uprising,Bob Marley & The Wailers,5O4erNlJ74PIF6kGol1ZrC,1980,83,237000,0.916,0.36,0.72,0.00016,0.0958,0.761,-8.548,0.1,103.314,0,4,like
62,Santeria,Sublime (Explicit Version),Sublime,6cJqlSO19vsfCsH1FeFI35,1996-07-30,0,183200,0.673,0.0223,0.772,1.23e-06,0.141,0.585,-5.246,0.0427,90.356,1,4,like
63,Funky Kingston,20th Century Masters: The Millennium Collection: Best Of Toots & The Maytals,Toots & The Maytals,0bJ4nQojefjNpeuZNkiLrX,2001-01-01,37,290200,0.768,0.239,0.5,0.00202,0.0344,0.96,-9.455,0.0554,99.78,1,4,like
64,What I Got,Sublime (Explicit Version),Sublime,3oVSsJXNADnYAnZWiEWFJH,1996-07-30,0,171066,0.795,0.0172,0.706,0.000384,0.326,0.623,-7.494,0.101,95.593,7,4,like
65,Save It For Later,Special Beat Service (Remastered),The English Beat,5rBOBI3INEw0u0rwNNGib5,1982,57,213933,0.624,0.0307,0.719,0.0489,0.322,0.724,-9.87,0.0278,129.552,2,4,like
66,Every Little Thing She Does Is Magic,The Very Best Of Sting And The Police,Sting,3VDBKtwyW7t75TWwCnqcw7,2002-01-01,42,260320,0.555,0.118,0.739,0.046,0.111,0.45,-9.883,0.0384,81.915,2,4,like
67,Should I Stay or Should I Go - Remastered,Hits Back,The Clash,3v8PlUFGQQDBIk1J86waCo,2013-08-26,60,188240,0.742,0.0832,0.838,0.0,0.418,0.848,-6.442,0.11,113.373,2,4,like
68,Hard To Handle,Toots In Memphis,Toots Hibbert,2rXHkBrJxrraeYLwuNqlpn,1988-01-01,0,178240,0.768,0.189,0.539,3.37e-06,0.216,0.838,-10.689,0.0672,95.546,8,4,like
69,Buffalo Soldier,Confrontation,Bob Marley & The Wailers,7BfW1eoDh27W69nxsmRicb,1983,73,255840,0.929,0.143,0.463,5.3e-06,0.0634,0.755,-8.651,0.308,124.084,9,4,like
70,The General,Bang Bang,DISPATCH,6n6EXIwLtNwe4u4CFzENYm,1997-09-01,60,246920,0.546,0.439,0.675,0.0,0.107,0.686,-6.136,0.171,91.779,10,4,like
71,Sideways (feat. Citizen Cope),Shaman,Santana,34DdiMOZFVqMHu0uJ2Vd8a,2002-09-30,52,280173,0.532,0.168,0.468,0.0,0.125,0.247,-7.624,0.0431,112.392,2,4,like
72,Hey You,A Foot in the Door: The Best of Pink Floyd,Pink Floyd,7aK18sdq8pknGPf7NLeBG3,2011,26,279624,0.579,0.18,0.311,0.000777,0.213,0.201,-13.769,0.0281,112.204,0,4,like
73,Hey Joe,Are You Experienced,Jimi Hendrix,0NWPxcsf5vdjdiFUI8NgkP,1967-05-12,67,210160,0.346,0.00603,0.768,0.38,0.0244,0.532,-5.695,0.0377,169.492,9,4,like
74,The Way You Look Tonight,Ultimate Sinatra,Frank Sinatra,0shGCs5AkhwJIgUb0SSz2B,2015-04-17,50,201200,0.592,0.856,0.369,0.0,0.352,0.529,-8.68,0.032,132.952,5,4,like
75,Smooth Sailin',Coming Home,Leon Bridges,3JbqwFY5q0ORO3siv5zL3A,2015-06-15,0,183333,0.641,0.413,0.721,7.15e-06,0.246,0.753,-6.788,0.0451,67.055,11,4,like
76,Half Time,Lioness: Hidden Treasures,Amy Winehouse,4d0dY3ZeMdoYrD5YmdFvWZ,2011-01-01,56,230853,0.624,0.375,0.488,9.63e-05,0.339,0.273,-8.258,0.0584,84.218,4,4,like
77,Just Dropped In (To See What Condition My Condition Was In),Soul Men (Original Motion Picture Soundtrack),Various Artists,7KLYrPB6My9FTGCq1Qzi0U,2008-01-01,35,179133,0.644,0.171,0.726,0.000488,0.0909,0.888,-7.398,0.0446,133.326,10,4,like
78,That's Life,Ultimate Sinatra,Frank Sinatra,7nL48xOPl0CraSaxKonp8j,2015-04-17,43,186133,0.453,0.458,0.692,0.0,0.586,0.577,-5.098,0.0485,112.734,2,4,like
79,Coming Home,Coming Home,Leon Bridges,5EA06TsQmqmQXZiEhr1AaM,2015-06-15,0,206386,0.427,0.461,0.465,5.52e-05,0.154,0.458,-6.595,0.0291,112.137,6,3,like
80,We Get Along,Give the People What They Want,Sharon Jones & The Dap-Kings,6uduRAViNA2x89ou9B2MVU,2014-01-14,0,183213,0.797,0.701,0.461,0.0,0.224,0.93,-9.075,0.0433,101.616,11,4,like
81,Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,6vxHp3CDNo0afgKGp2yi1E,1972-01-14,70,164813,0.626,0.237,0.816,1.8e-06,0.104,0.798,-10.593,0.131,105.307,9,4,like
82,This Feeling,Sound & Color,Alabama Shakes,2zhfCGN6y15c4ArUHXi9g7,2015-04-20,0,268853,0.626,0.824,0.333,0.0103,0.107,0.318,-11.413,0.0365,130.835,7,4,like
83,Colors,Amos Lee,Amos Lee,72SPsHheqN6J3sI520jT9E,2005-01-01,56,160453,0.681,0.793,0.168,0.000134,0.109,0.29,-13.397,0.0291,128.615,7,4,like
84,The River,Son Little (Deluxe Edition),Son Little,5X8end5T031UPa91rqTZWj,2015-10-16,33,274018,0.694,0.0441,0.753,0.00274,0.132,0.532,-6.039,0.037,109.029,4,4,like
85,Sound & Color,Sound & Color,Alabama Shakes,65wx71brAmEQz66GXXF8gI,2015-04-21,0,182466,0.547,0.848,0.43,0.613,0.0825,0.175,-7.393,0.0667,114.729,2,4,like
86,Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae,2nGFzvICaeEWjIrBrL2RAx,2006-01-01,78,215360,0.739,0.167,0.511,1.34e-06,0.133,0.542,-7.844,0.0362,96.038,9,4,like
87,From Eden,From Eden EP,Hozier,1yi8EOTpKeVK4cj5HS8DRp,2014-03-09,43,222426,0.484,0.398,0.528,2.57e-05,0.107,0.408,-6.951,0.0424,109.361,0,4,like
88,Billie Jean,Between The Bars (EP),The Civil Wars,4zzi2eD2cEPpQ3a307mPPj,2012,53,259920,0.532,0.829,0.203,0.0,0.108,0.543,-8.524,0.0668,89.646,9,4,like
89,Lay Down,Son Little (Deluxe Edition),Son Little,3x8IsQzb1KhPPo6zNGzzL1,2015-10-16,47,228000,0.467,0.775,0.257,0.0,0.118,0.255,-10.123,0.0314,106.605,5,3,like
90,Sowa,Fatou,Fatoumata Diawara,4tpc2XviRMZH8f9C9W7DFY,2012-08-28,0,186906,0.773,0.434,0.359,0.0,0.155,0.299,-9.92,0.134,105.904,9,4,like
91,Born to Run,Born To Run,Bruce Springsteen,6hTcuIQa0sxrrByu9wTD7s,1975-08-25,71,269920,0.27,0.00501,0.944,2.05e-05,0.116,0.606,-4.199,0.0975,146.347,4,4,like
92,What's Going On,Playing For Change 3: Songs Around The World,Playing For Change,4K93tFBP0LNWADt3QD6Chj,2014-01-01,0,214200,0.746,0.499,0.541,0.0188,0.111,0.532,-8.549,0.0784,101.989,6,4,like
93,Only God Can Judge Me,All Eyez On Me,2Pac,13XHuE00ElL5thSxkaEXxK,1996-02-13,0,296906,0.803,0.0012,0.784,0.000161,0.0794,0.801,-5.97,0.198,90.185,11,4,like
94,Have You Ever Seen The Rain?,Pendulum (40th Anniversary Edition),Creedence Clearwater Revival,4JuJ9ewGWWGy0U3URuXOSI,1970-12-07,0,160133,0.741,0.0664,0.697,2.28e-05,0.133,0.774,-7.028,0.0277,116.109,0,4,like
95,Baba O'Riley,Who's Next (Deluxe Edition),The Who,3qiyyUfYe7CRYLucrPmulD,1971-08-14,74,300400,0.489,0.313,0.724,0.185,0.287,0.15,-8.367,0.0352,117.292,5,4,like
96,Can't You See,The Marshall Tucker Band,The Marshall Tucker Band,4fUU9WKxEgJXyrZJsUA2iP,1973,67,365093,0.406,0.276,0.713,0.00354,0.112,0.577,-5.49,0.0348,164.444,7,4,like
97,Summer Of '69,Reckless (30th Anniversary / Deluxe Edition),Bryan Adams,0GONea6G2XdnHWjNZd6zt3,1984-11-05,83,216053,0.509,0.0183,0.834,0.0,0.0732,0.774,-6.205,0.0386,139.13,2,4,like
98,Mr. Brightside,Hot Fuss,The Killers,7oK9VyNzrYvRFo7nQEYkWN,2004-06-15,22,222586,0.356,0.00101,0.924,0.0,0.0953,0.232,-3.74,0.0808,148.017,1,4,like
99,Come and Get Your Love (Rerecorded Version),The Best Of Redbone,Redbone,2T43UrvAg60ubJVo5KQ3t7,2010-03-05,61,208306,0.793,0.227,0.481,0.00127,0.06,0.97,-14.246,0.0279,107.744,2,4,like
0,All My Tears,Rarities,Ane Brun,2UZ8C6abrCuhjelaK1MFz1,2013-10-04,58,124853,0.635,0.975,0.17,4.6e-05,0.111,0.616,-10.831,0.0479,85.718,9,4,like
1,Fraulein (feat. Tyler Childers),Colter Wall,Colter Wall,1zLWKvegCtyjWaVWQFFX5W,2017-05-12,1,143000,0.486,0.94,0.112,9.36e-05,0.123,0.545,-14.27,0.033,140.125,7,4,like
2,Wildflowers - Recorded at Spotify Studios NYC,Spotify Singles,Miley Cyrus,4L0rxWhjyX0VhNbK4U9oK6,2017-10-25,50,185463,0.36,0.465,0.509,0.0,0.148,0.504,-9.923,0.0354,174.061,5,4,like
3,Heaven Sent,The SteelDrivers,The Steeldrivers,3VBWZPCUuTovJxhC3u5t7g,2008-01-01,0,228120,0.635,0.653,0.667,0.00448,0.161,0.718,-6.859,0.0332,107.376,7,4,like
4,Highwomen,The Highwomen,The Highwomen,0CTNLJMN9dMG4cl5qgsZSv,2019-09-06,54,212480,0.554,0.77,0.47,2.6e-06,0.106,0.346,-6.604,0.0548,95.598,8,4,like
5,Midnight in Harlem,Revelator,Tedeschi Trucks Band,1ncSAZD0bzvU3cu0uPLbWd,2011-06-03,56,352666,0.447,0.35,0.557,0.0145,0.11,0.43,-9.92,0.035,152.058,9,4,like
6,Anyhow,Let Me Get By (Deluxe Edition),Tedeschi Trucks Band,623FuReM7vYHHD1ktY08j5,2016-01-01,0,395613,0.449,0.125,0.681,0.375,0.0957,0.519,-9.288,0.0319,93.133,9,4,like
7,This Too Shall Light,This Too Shall Light,Amy Helm,35apOKc1WSRJJrt2DCRwLR,2018-09-21,0,260081,0.524,0.152,0.664,1.52e-05,0.13,0.577,-7.315,0.076,77.937,4,4,like
8,Honest Man,Honest Man,Matt Andersen,0KRBAOHg8LuG07fF2jrsrK,2016-02-26,0,212706,0.823,0.15,0.536,7.19e-06,0.0491,0.777,-5.793,0.0372,93.481,2,4,like
9,If It Hadn't Been For Love,The SteelDrivers,The Steeldrivers,1dUTVfSJIbZoAvuxrgqvjz,2008-01-01,0,238640,0.484,0.722,0.449,3.17e-05,0.106,0.587,-7.258,0.0446,160.198,9,4,like
10,Purgatory,Purgatory,Tyler Childers,5opxZwZYGrLuWTOLW8HvMK,2017-08-04,55,166053,0.489,0.301,0.773,0.108,0.241,0.908,-6.356,0.0308,141.419,7,4,like
11,Time > Breathe Reprise >,All Access: Volume One,Greensky Bluegrass,30sRAEKuzybaAvhjEBmppp,2010-02-09,51,338240,0.405,0.142,0.756,4.03e-05,0.638,0.606,-6.361,0.0307,133.379,6,4,like
12,Hello Walls,The Early Years,Willie Nelson,275SxfFiepqWJeKXvNlGKq,1994-01-01,38,144466,0.616,0.592,0.271,2.8e-05,0.0929,0.55,-12.003,0.0326,101.906,0,4,like
13,Look at Us (feat. Morgane Stapleton),"For Better, Or Worse",John Prine,783JfOa6qKdh869RO4cleX,2016-09-30,27,166533,0.594,0.81,0.344,0.000108,0.0875,0.431,-9.818,0.0304,105.181,5,4,like
14,Done,Indian Ocean,Frazey Ford,41xemwlFbOUNsTzC5Oyr8u,2014-10-14,0,281546,0.777,0.303,0.403,0.00825,0.084,0.509,-9.274,0.047,113.949,11,4,like
15,That's the Way That the World Goes Round - Live,John Prine (Live),John Prine,0OqcrFJ6qaUefw5cdD3jhm,1990,29,227800,0.364,0.885,0.137,5.13e-06,0.892,0.616,-23.742,0.0929,81.711,5,4,like
16,Motorcycle,Colter Wall,Colter Wall,0YnbCBn2UdoM5Y1l6Am5EY,2017-05-12,1,137703,0.666,0.639,0.412,0.486,0.104,0.67,-14.082,0.0332,84.805,7,4,like
17,Where Rainbows Never Die,Reckless,The Steeldrivers,2gE58DQyqgsvsK87SWUN62,2010-01-01,62,229880,0.603,0.921,0.341,0.00314,0.102,0.365,-8.892,0.0264,113.452,4,4,like
18,Kate McCannon,Colter Wall,Colter Wall,5tN0LIuQDapSFedlYJuG0k,2017-05-12,2,274081,0.608,0.915,0.171,0.188,0.111,0.3,-16.822,0.0314,142.827,7,4,like
19,House Fire,House Fire,Tyler Childers,5u6MYbzGUxC684e1ePhFC8,2019-05-16,42,232973,0.519,0.241,0.707,0.102,0.267,0.545,-8.424,0.0272,93.348,5,4,like
20,Hello Sunshine,Hello Sunshine,Bruce Springsteen,0awwOS43XbEg56EmKjyW4u,2019-04-26,0,234240,0.546,0.438,0.438,0.0443,0.192,0.274,-10.29,0.032,120.022,2,4,like
21,If Not the Fool,Lonesome as a Shadow,Charley Crockett,2nbu7NRSlKwRWnuEdFWaWu,2018-04-20,39,167813,0.582,0.481,0.558,0.000608,0.102,0.669,-8.166,0.0847,95.324,11,4,like
22,Don't Know What It Means,Let Me Get By,Tedeschi Trucks Band,2fwkmLhjnWNyiNpd1xfQsv,2016-01-29,23,358253,0.646,0.433,0.622,0.0143,0.365,0.806,-9.203,0.0348,91.926,11,4,like
23,Rita Is Gone,The Marcus King Band,The Marcus King Band,7CEKnpnWXyhNi6tLBGxfAo,2016-10-07,0,265586,0.617,0.853,0.441,0.0271,0.0848,0.82,-8.186,0.035,86.225,5,4,like
24,Goodbye Carolina - Extended Version,Carolina Confessions,The Marcus King Band,2fnJfC1d4A0t6y4qVaD98i,2018-10-05,0,375333,0.402,0.076,0.617,0.00156,0.0746,0.337,-7.672,0.036,79.982,0,4,like
25,Forever You and Me,Forever You and Me,The Teskey Brothers,4GUaG3df9nbrj77GKEB76j,2018-01-22,73,175592,0.509,0.436,0.467,9.98e-06,0.0971,0.538,-4.94,0.0331,175.159,8,3,like
